event_id	groupA	groupB	groupC	groupD	groupE	groupF	groupG	groupH	groupI	groupJ	groupK	groupL	groupM	groupN	groupO
CA-19732-5325-5427-5478-5560[INC][18/1]	0.6194004139499121	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.917828806910458	0.917828806910458	0.917828806910458	0.917828806910458	0.917828806910458
CA-19885-7778-14358-14499-17295[INC][2/4][UPT]	0	0	0	0	0	0	0	0	0	0	0.6033511134592864	0.6033511134592864	0.6033511134592864	0.6033511134592864	0.6033511134592864
CA-19889-3221-3432-3591-15273[INC][2/34][UPT]	0.0143443089573979	0.0143443089573979	0.0143443089573979	0.0143443089573979	0.0143443089573979	0.0078679942606546	0.0078679942606546	0.0078679942606546	0.0078679942606546	0.0078679942606546	0.0064296197864839	0.0064296197864839	0.0064296197864839	0.0064296197864839	0.0064296197864839
CA-19889-3221-15273-15939-20097[INC][9/3][UPT]	1	1	1	1	1	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	1	1	1	1	1
CA-19899-4948-5223-5417-5643[INC][493/1][DNT]	1	1	1	1	1	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	1	1	1	1	1
CA-19934-4708-6382-6536-7126[INC][3/555]	4.886795633145e-4	4.886795633145e-4	4.886795633145e-4	4.886795633145e-4	4.886795633145e-4	0.0015385763030537	0.0015385763030537	0.0015385763030537	0.0015385763030537	0.0015385763030537	8.965906344796334e-4	8.965906344796334e-4	8.965906344796334e-4	8.965906344796334e-4	8.965906344796334e-4
CA-19951-3942-4576-4758-6055[INC][968/1][DNT]	0.899039757318357	0.899039757318357	0.899039757318357	0.899039757318357	0.899039757318357	0.933714635119168	0.933714635119168	0.933714635119168	0.933714635119168	0.933714635119168	0.944930597465299	0.944930597465299	0.944930597465299	0.944930597465299	0.944930597465299
CA-19981-3965-4922-5080-5242[INC][1/686][DNT]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CA-19988-5310-5646-5695-6890[INC][782/1]	1	1	1	1	1	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	1	1	1	1	1
CA-20021-5863-5994-6047-7261[INC][137/1]	0.6194004139499121	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.6204756827671163	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.5987491900115074	0.972875904583222	0.972875904583222	0.972875904583222	0.972875904583222	0.972875904583222
