Regulator	Target	MI	pvalue
405	152185	0.2646461308666317	1.0
367	10574	0.31043756518387705	1.0
657	8536	0.3109208299179336	1.0
657	8535	0.2798119857517989	1.0
867	119710	0.32832130655205355	1.0
657	7203	0.2611389642291577	1.0
367	10591	0.4224014955506412	1.0
657	8539	0.3574120606604545	1.0
196	23452	0.2749956902864339	1.0
429	8038	0.25528778031920396	1.0
468	781	0.358242965133649	1.0
196	10139	0.36686882074864374	1.0
657	388552	0.30467173215565807	1.0
196	126074	0.47455470601296046	1.0
196	126075	0.5121091693626596	1.0
468	113179	0.3776146217823664	1.0
196	10142	0.23475116788235884	1.0
468	113177	0.2827545914198799	1.0
1386	125875	0.39427691512338026	1.0
646	10576	0.2455199595693518	1.0
646	10574	0.22771986920053067	1.0
367	3899	0.3116779267501055	1.0
367	170689	0.33833877623459047	1.0
745	148170	0.2586339420468997	1.0
4299	79568	0.3038591701521165	1.0
367	1233	0.2582302477457376	1.0
867	781	0.36142601050047174	1.0
657	8546	0.3163103049697946	1.0
466	402573	0.24416935389884165	1.0
657	8545	0.33119206662130285	1.0
196	114041	0.3017523373708153	1.0
571	1175	0.28314903457549745	1.0
1050	29126	0.3056244897656817	1.0
571	1173	0.3296156950337215	1.0
571	1174	0.2861794075912405	1.0
657	8548	0.2986254272448733	1.0
468	3075	0.2307011472213416	1.0
571	150383	0.4505287752870476	1.0
867	51094	0.2637345669352795	1.0
4299	113540	0.3969429485511176	1.0
867	51093	0.4153608672550002	1.0
657	8540	0.26547513100691233	1.0
367	57205	0.2433555047760428	1.0
1054	10717	0.2502866348085684	1.0
405	51501	0.30542719471248825	1.0
1388	9994	0.2941224912216933	1.0
1386	124512	0.3865475598387519	1.0
196	10195	0.32338512833396615	1.0
367	157657	0.4874800550964773	1.0
468	79586	0.2751909868561733	1.0
604	338692	0.24240146979696142	1.0
1051	153733	0.27898428382169316	1.0
468	79587	0.30340251340321256	1.0
367	10598	0.29286357451391754	1.0
1052	9429	0.26653116936762977	1.0
1050	509	0.24695276570282676	1.0
657	8558	0.3276540181268821	1.0
466	1822	0.2804968476298435	1.0
863	285203	0.2790829543411881	1.0
657	8555	0.2862536429985685	1.0
466	401251	0.33768354276462675	1.0
1051	126123	0.41789052715113595	1.0
468	92558	0.23234092897756753	1.0
571	1163	0.30819396492665074	1.0
867	727	0.24398379922599922	1.0
1388	9976	0.32217723263799547	1.0
657	91851	0.3729037596692284	1.0
165	7122	0.23141274494728936	1.0
468	200894	0.35889867614462173	1.0
165	7123	0.2934586061557436	1.0
646	57205	0.230824774755523	1.0
367	84811	0.30061469958241904	1.0
571	2491	0.3558082571868333	1.0
429	9391	0.22969487105371922	1.0
1050	100131213	0.34067426857615324	1.0
468	79598	0.38852453175005336	1.0
602	203238	0.24083248038822536	1.0
196	114038	0.2322150619897192	1.0
