event_id	groupA	groupB	groupC	groupD	groupE	groupF	groupG	groupH	groupI	groupJ
CA-20524-34716-36403-36549-36629[INC][58/1]	1	0.9971428571428571	0.9941520467836258	1	0.9985380116959064	0.9977272727272727	1	1	1	0.9837593984962407
CA-20595-4761-5614-5727-6382[INC][1/75][UPT]	0	0	0	0	0	0	0.00740740740740741	0	0	0
CA-20610-10818-12693-12801-12914[INC][3/245][DNT]	0.0909090909090909	0	0	0	0	0.02941176470588235	0	0	0	0
CA-20638-5350-5612-5736-6923[INC][3/399]	0	0	0	0	0	0	0	0	0	0
CA-20643-4384-6701-6780-9204[INC][184/1][DNT]	0.996323529411765	1	0.991701244813278	1	0.99616122840691	0.988929889298893	1	0.996219281663516	0.989492119089317	0.996086105675147
CA-20684-32060-44925-45000-47209[INC][4/2]	1	1	0.9912280701754387	0.9959183673469386	0.9931153184165232	0.9967532467532466	0.996031746031746	1	0.9969512195121951	0.9696992481203007
CA-20684-32060-34036-34090-47209[INC][4/2]	1	1	0.888888888888889	1	0.68	1	1	1	1	0.904761904761905
CA-20684-32060-34036-34090-44925[INC][7/6]	0.923076923076923	0.777777777777778	1	0.866666666666667	0.793103448275862	0.8	1	0.818181818181818	1	0.92
CA-20684-34090-44925-45000-47209[INC][6/4]	1	0.866666666666667	1	1	1	1	1	1	1	1
CA-20708-3031-5987-6162-8958[INC][29/3][UPT]	1	1	0.9912280701754387	1	0.9978070175438596	1	1	1	1	0.9796992481203007
CA-20728-8524-9058-9151-9953[INC][1/14][DNT]	4.357298474945444e-4	0	0	0	0	0	0.00740740740740741	0.0023255813953488398	0.004816053511705678	9.124087591240875e-4
CA-20733-24607-24848-24921-25525[INC][4/248]	4.901960784313625e-4	0.01871657754010695	0	0	0.023504273504273487	0	0.009615384615384612	0.02017027598422947	0.007224080267558517	0.014560051439024824
CA-20823-8818-8890-8991-10217[INC][60/1]	1	1	1	1	1	1	1	1	1	1
CA-20832-4926-5027-5126-5772[INC][3/202]	0.0097087378640776	0	0	0	0	0	0	0	0	0
CA-20832-4926-5052-5126-5772[INC][1/202]	0.0097087378640776	0	0	0	0	0	0	0	0	0
CA-20832-5847-6003-6093-6331[INC][196/1]	1	1	1	0.976744186046512	1	1	1	1	1	0.976744186046512
CA-20832-6093-6331-6397-6626[INC][246/1][DNT]	1	1	1	1	1	1	1	1	1	1
CA-20832-6093-6317-6397-6626[INC][1/1][DNT]	1	1	1	1	1	1	1	1	1	1
CA-20849-3485-6539-6668-8546[INC][24/2][UPT]	0.866666666666667	0.6403565279159279	0.875	1	0.857142857142857	0.875	1	0.875	1	1
CA-208606-3124-6823-6916-7301[INC][19/69][UPT]	0.125	0.125	0.0936936936936937	0.125	0.125	0.13393858814981813	0.08682106424041901	0.08221656392388099	0.08111278699513984	0.10824372759856629
CA-208606-15854-18014-18153-18777[INC][2/33]	0	0	0	0	0	0	0.009523809523809528	0.003861003861003857	0	0.0053763440860215
CA-208606-15854-16516-16591-18777[INC][1/33]	0	0	0	0.0769230769230769	0.0666666666666667	0.0909090909090909	0	0	0	0.047619047619047665
CA-20892-3075-4055-4328-4872[INC][4/46][UPT]	0.0588235294117647	0.0588235294117647	0	0	0	0.0769230769230769	0	0	0	0.0526315789473684
CA-20892-3075-4228-4328-4872[INC][2/46][UPT]	0.0588235294117647	0.0588235294117647	0	0	0	0.0769230769230769	0	0	0	0.0526315789473684
CA-20892-3075-4872-4924-5011[INC][45/1][UPT]	0.92	1	1	1	0.8	0.866666666666667	0.91304347826087	1	1	0.92
CA-20892-5065-5289-5378-5461[INC][92/3][DNT]	1	0.945945945945946	0.941176470588235	0.944444444444444	1	1	0.846153846153846	1	0.92156862745098	1
CA-20892-5065-5291-5378-5461[INC][2/3][DNT]	1	0.9	0.882352941176471	0.923076923076923	1	1	0.793103448275862	1	0.878787878787879	1
CA-20892-5065-5266-5378-5461[INC][3/3][DNT]	1	0.9	0.882352941176471	0.923076923076923	1	1	0.793103448275862	1	0.878787878787879	1
CA-209003-3432-5397-5449-14301[INC][25/1]	1	1	1	1	1	0.9967532467532466	1	1	1	1
CA-20922-3709-5940-6082-8231[INC][5/125]	0.0652173913043478	0.0222222222222222	0.0416666666666667	0.032258064516129	0.0384615384615385	0.0247933884297521	0.0217391304347826	0.0123456790123457	0.0181818181818182	0.0212765957446809
CA-209354-3621-4905-5042-5143[INC][113/1]	1	0.9964285714285714	1	1	1	0.9744318181818181	1	0.9898989898989898	1	0.9786422578184593
CA-210757-57242-68097-68259-95760[INC][2/21]	0.0909090909090909	0	0	0	0	0.0588235294117647	0	0	0	0
CA-210757-57242-95760-96219-116296[INC][10/1]	1	0.857142857142857	1	1	1	1	1	1	1	1
CA-211151-3066-10685-10821-13021[INC][44/3][UPT]	0.901960784313726	0.965217391304348	0.854838709677419	0.851851851851852	0.923076923076923	0.854545454545454	0.947826086956522	0.830188679245283	0.9	0.884297520661157
CA-211151-10821-13021-13092-20240[INC][55/2][DNT]	0.973333333333333	0.947368421052632	1	1	0.985915492957746	0.987878787878788	0.954545454545455	0.985714285714286	0.985915492957746	0.972027972027972
CA-211666-6418-19372-19443-23604[INC][16/1]	1	1	1	1	1	1	1	1	1	1
CA-211666-19443-23604-23686-24261[INC][17/2][DNT]	0.909090909090909	1	1	1	0.894736842105263	1	1	1	1	1
CA-212167-38029-39123-39173-42977[INC][8/1]	1	0.9968253968253968	0.993421052631579	1	0.9985380116959064	0.9974747474747474	1	1	1	0.9819548872180452
CA-212167-39173-42296-42461-42977[INC][2/8]	0	0.011363636363636362	0	0	0.012820512820512817	0	0	0.016309272123225613	0.005714285714285714	0
CA-213012-9014-13127-13169-13947[INC][3/39]	0	0	0	0	0	0	0.009523809523809528	0.0033222591362126286	0.005714285714285714	0
CA-21351-9443-11128-11260-12421[INC][283/1]	1	0.9952380952380951	1	1	1	1	1	1	1	1
CA-21353-52254-53699-53787-68129[INC][1/32]	0.0476190476190476	0.6403565279159279	0	0	0.0666666666666667	0	0	0.022727272727272724	0	0
CA-21353-68837-70565-70781-74152[INC][2/30]	0	0	0	0	0	0	0	0.04	0.037037037037037	0
CA-21353-74703-75841-75944-77793[INC][1/19][DNT]	0	0	0	0	0	0	0.009523809523809528	0	0	0
CA-21371-3060-29168-29242-46417[INC][1/27][UPT]	0	0	0	0.0196078431372549	0	0	0	0	0	0
CA-21374-7760-9484-9523-10455[INC][1/29]	0	0	0	0	0	0	0	0.0033222591362126286	0.005714285714285714	0
CA-21402-3124-7842-7939-13592[INC][434/2][UPT]	1	1	1	1	1	0.969230769230769	0.964912280701754	1	1	1
CA-21402-7939-8389-8478-13592[INC][4/490]	0	0	0	0	0	0	0	0.0149253731343284	0	0
CA-21402-13666-14620-14764-15986[INC][351/1]	0.970149253731343	0.956043956043956	1	0.951807228915663	1	1	0.971428571428571	1	0.976470588235294	0.976744186046512
CA-21454-3165-4333-4419-4578[INC][468/30][UPT]	0.904761904761905	1	0.739130434782609	0.9	1	0.826086956521739	0.666666666666667	0.866666666666667	1	1
CA-214580-15855-16354-16448-19472[INC][31/2][DNT]	0.9981249999999999	0.996151996151996	0.9920906237845638	0.997619956726486	0.9975281411621539	0.9968172852788236	0.9961371814643462	1	1	0.9819548872180452
CA-214580-16448-16653-16719-19472[INC][1/48][DNT]	0	0	0	0	0	0	0.009523809523809528	0	0	0
CA-214601-7934-8091-8197-8440[INC][4/1][UPT]	1	0.851851851851852	0.857142857142857	1	1	0.944444444444444	0.916666666666667	1	0.904761904761905	0.923076923076923
CA-21672-3697-3788-3942-4639[INC][586/1]	1	1	1	1	1	1	1	1	1	1
CA-21672-3942-4639-4762-4914[INC][506/1]	1	1	1	1	1	1	1	1	1	1
CA-21672-4762-4914-5045-7352[INC][377/1]	1	1	1	1	0.952380952380952	1	1	1	1	1
CA-217109-27973-28079-28107-28698[INC][1/57][DNT]	0	0	0	0	0	0	0	0	0	0
CA-217653-17186-18515-18589-20731[INC][26/1]	0.9979166666666666	0.996151996151996	0.9976808991260553	0.9973224513172967	0.9972534901801711	0.9964194459386766	0.9956543291473893	1	1	1
CA-217869-4587-4700-4811-5029[INC][3/6]	0.8704007449459895	0.9588293650793651	0.9553418803418805	0.9270184389132484	0.9292080791084141	0.9140296390749308	0.857142857142857	0.9528792912513843	0.9166626768009257	0.9099947671376242
CA-217869-4587-4700-4782-5029[INC][206/6]	0.909090909090909	0.9642857142857142	1	1	1	1	0.9	0.866666666666667	1	1
CA-217869-7741-7999-8164-8426[INC][62/1]	1	0.9964285714285714	1	1	0.9983552631578947	0.9967532467532466	1	1	1	1
CA-21787-14840-15877-16024-19214[INC][58/3]	1	1	1	1	1	1	1	1	1	1
CA-21787-26051-28534-28575-29297[INC][2/42][DNT]	0	0	0	0	0	0	0	0	0	0
CA-21855-3072-4563-4663-7275[INC][78/6][UPT]	1	1	1	1	1	1	1	1	1	1
CA-218734-6185-15413-15539-16373[INC][1/54]	0	0.0476190476190476	0	0.6517517076783694	0.111111111111111	0	0	0	0	0.0476190476190476
CA-21877-3301-3382-3803-4233[INC][1/5][UPT]	1	0.9964285714285714	1	0.9964285714285714	0.9931832593532024	0.9971590909090908	0.9965277777777777	1	0.9972899728997291	0.9768421052631578
CA-21877-3301-3382-3414-4233[INC][78/5][UPT]	1	1	1	1	1	1	1	1	1	1
CA-21877-3414-4233-4344-6824[INC][78/1]	1	1	1	1	1	1	1	1	1	1
